ID	CITY		COUNTRY		CONTINENT	OPTIONS
ams	Amsterdam	NL		Europe		[ddos_protection block_storage_storage_opt block_storage_high_perf load_balancers kubernetes]
atl	Atlanta		US		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
blr	Bangalore	IN		Asia		[ddos_protection block_storage_storage_opt block_storage_high_perf load_balancers kubernetes]
bom	Mumbai		IN		Asia		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
cdg	Paris		FR		Europe		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
del	Delhi NCR	IN		Asia		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
dfw	Dallas		US		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
ewr	New Jersey	US		North America	[ddos_protection block_storage_high_perf block_storage_storage_opt load_balancers kubernetes]
fra	Frankfurt	DE		Europe		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
hnl	Honolulu	US		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
icn	Seoul		KR		Asia		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
itm	Osaka		JP		Asia		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
jnb	Johannesburg	ZA		Africa		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
lax	Los Angeles	US		North America	[ddos_protection block_storage_storage_opt block_storage_high_perf load_balancers kubernetes]
lhr	London		GB		Europe		[ddos_protection block_storage_high_perf block_storage_storage_opt load_balancers kubernetes]
mad	Madrid		ES		Europe		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
man	Manchester	GB		Europe		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
mel	Melbourne	AU		Australia	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
mex	Mexico City	MX		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
mia	Miami		US		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
nrt	Tokyo		JP		Asia		[ddos_protection block_storage_high_perf block_storage_storage_opt load_balancers kubernetes]
ord	Chicago		US		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
sao	São Paulo	BR		South America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
scl	Santiago	CL		South America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
sea	Seattle		US		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
sgp	Singapore	SG		Asia		[ddos_protection block_storage_storage_opt block_storage_high_perf load_balancers kubernetes]
sjc	Silicon Valley	US		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
sto	Stockholm	SE		Europe		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
syd	Sydney		AU		Australia	[ddos_protection block_storage_high_perf load_balancers kubernetes]
tlv	Tel Aviv	IL		Asia		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
waw	Warsaw		PL		Europe		[ddos_protection block_storage_storage_opt load_balancers kubernetes]
yto	Toronto		CA		North America	[ddos_protection block_storage_storage_opt load_balancers kubernetes]
======================================
TOTAL	NEXT PAGE	PREV PAGE
32	---		---
